plant_name,plant_type,pot_or_ground,soil_type,soil_ph,soil_nitrogen,soil_phosphorus,soil_potassium,plant_age_weeks,sunlight_exposure,last_watered_days,temperature,humidity,rainfall,season,watering_status
Cactus,Outdoor,Ground,Sandy,6.0,31,23,25,68,Full Sun,6,22.0,71,8.1,Autumn,0
Snake Plant,Indoor,Ground,Loamy,7.7,61,42,40,77,Low Light,3,26.3,73,1.4,Winter,0
Snake Plant,Indoor,Ground,Loamy,7.2,74,34,50,53,Low Light,1,29.1,56,13.9,Spring,0
Cactus,Outdoor,Ground,Sandy,5.7,21,12,18,13,Full Sun,5,25.9,64,13.9,Winter,0
Rose,Outdoor,Pot,Clayey,7.7,48,43,54,89,Full Sun,5,34.7,34,5.8,Monsoon,0
Mint,Outdoor,Pot,Loamy,5.7,73,51,57,60,Partial Sun,5,35.2,82,9.7,Monsoon,0
Aloe Vera,Outdoor,Ground,Sandy,6.3,38,20,21,72,Full Sun,0,36.7,34,1.0,Summer,0
Peace Lily,Indoor,Ground,Loamy,5.9,65,30,43,7,Low Light,2,24.0,55,7.1,Monsoon,0
Basil,Indoor,Pot,Loamy,6.5,57,54,44,19,Partial Sun,4,36.8,83,11.4,Spring,0
Tomato,Outdoor,Ground,Loamy,6.8,47,54,34,7,Full Sun,1,16.6,31,9.9,Winter,0
Aloe Vera,Outdoor,Pot,Sandy,6.2,26,18,24,97,Full Sun,3,24.5,46,1.6,Monsoon,0
Money Plant,Indoor,Ground,Loamy,6.6,62,42,46,64,Indirect Light,1,24.7,85,4.3,Autumn,0
Rose,Outdoor,Ground,Clayey,8.0,42,25,66,56,Full Sun,3,29.1,76,14.3,Winter,0
Spider Plant,Indoor,Ground,Loamy,7.2,75,31,60,28,Indirect Light,4,29.8,47,3.8,Summer,1
Cactus,Outdoor,Ground,Sandy,7.7,28,20,22,3,Full Sun,7,20.2,59,2.2,Summer,1
Tomato,Outdoor,Pot,Loamy,7.1,68,36,49,20,Full Sun,6,22.8,50,17.7,Autumn,0
Money Plant,Indoor,Ground,Loamy,6.9,68,35,33,72,Indirect Light,2,32.1,30,6.6,Monsoon,0
Rose,Outdoor,Ground,Clayey,6.9,35,29,58,52,Full Sun,1,36.2,53,19.5,Monsoon,0
Rose,Outdoor,Pot,Clayey,7.6,36,28,61,56,Full Sun,0,26.3,85,7.5,Winter,0
Spider Plant,Indoor,Pot,Loamy,6.4,56,55,48,79,Indirect Light,0,16.5,48,3.3,Spring,0
Basil,Indoor,Ground,Loamy,6.4,68,43,53,54,Partial Sun,0,32.4,73,14.4,Monsoon,0
Snake Plant,Indoor,Pot,Loamy,6.3,61,51,45,73,Low Light,1,25.2,34,10.6,Monsoon,0
Tomato,Outdoor,Pot,Loamy,7.0,63,48,60,56,Full Sun,0,31.2,67,13.9,Spring,0
Rose,Outdoor,Ground,Clayey,6.4,36,35,46,59,Full Sun,4,23.3,72,17.9,Autumn,0
Basil,Indoor,Ground,Loamy,7.7,78,39,53,42,Partial Sun,1,19.1,70,9.8,Summer,0
Cactus,Outdoor,Ground,Sandy,6.6,29,30,22,6,Full Sun,4,28.5,63,15.6,Winter,0
Peace Lily,Indoor,Ground,Loamy,7.0,71,39,49,23,Low Light,1,25.1,59,14.7,Monsoon,0
Aloe Vera,Outdoor,Ground,Sandy,6.0,24,20,19,77,Full Sun,3,37.6,59,0.7,Summer,2
